set_code,name,subtitle,variant,card_number,aspect,arena,card_type,rarity
C24,Asajj Ventress,Count Dooku's Assassin,Convention Exclusive,,,,,
C24,Count Dooku,Darth Tyranus,Convention Exclusive,,,,,
C24,Darth Maul,Revenge At Last,Convention Exclusive,,,,,
C24,Darth Vader,Commanding the First Legion,Convention Exclusive,,,,,
C24,Emperor Palpatine,Master of the Dark Side,Convention Exclusive,,,,,
C24,Kylo Ren,Killing the Past,Convention Exclusive,,,,,
C25,BB-8,Happy Beeps,Convention Exclusive,,,,,
C25,BD-1,Beep Boo Boo Bweep,Convention Exclusive,,,,,
C25,C-3PO,Anything I Might Do?,Convention Exclusive,,,,,
C25,Chopper,War Hero,Convention Exclusive,,,,,
C25,L3-37,Get Out Of My Seat,Convention Exclusive,,,,,
C25,R2-D2,Artooooooooo!,Convention Exclusive,,,,,
G25,Darth Sidious,The Phantom Menace,Normal,,,,,
G25,Obi-Wan Kenobi,Protective Padawan,Normal,,,,,
GG,Catacombs of Cadera,,Hyperspace Foil,,,,,
GG,Dagobah Swamp,,Hyperspace Foil,,,,,
GG,Echo Base,,Hyperspace Foil,,,,,
GG,Jabba's Palace,,Hyperspace Foil,,,,,
J24,Avenger,Hunting Star Destroyer,Judge Program,,,,,
J24,K-2SO,Cassian's Counterpart,Judge Program,,,,,
J24,Maul,Shadow Collective Visionary,Judge Program,,,,,
J24,Supreme Leader Snoke,Shadow Ruler,Judge Program,,,,,
J24,Tech,Source of Insight,Judge Program,,,,,
J24,Wrecker,BOOM!,Judge Program,,,,,
J25,Ahsoka Tano,Chasing Whispers,Judge Program,,,,,
J25,Count Dooku,Fallen Jedi,Judge Program,,,,,
J25,Darth Maul,Revenge At Last,Judge Program,,,,,
J25,Darth Sion,Lord of Pain,Judge Program,,,,,
J25,Darth Vader,Scourge of Squadrons,Judge Program,,,,,
J25,Enfys Nest,Champion of Justice,Judge Program,,,,,
J25,General Grievous,Scuttling to Safety,Judge Program,,,,,
J25,HK-47,"Exclamation: Die, Meatbag!",Judge Program,,,,,
J25,Karis Nemik,Freedom is a Pure Idea,Judge Program,,,,,
J25,Ki-Adi-Mundi,Composed and Confident,Judge Program,,,,,
J25,Luke Skywalker,You Still With Me?,Judge Program,,,,,
J25,Luke Skywalker,A Hero's Beginning,Judge Program,,,,,
J25,Oggdo Bogdo,Bogano Brute,Judge Program,,,,,
J25,Poggle the Lesser,Archduke of the Stalgasin Hive,Judge Program,,,,,
J25,Queen Amidala,Championing Her People,Judge Program,,,,,
J25,Rey,With Palpatine's Power,Judge Program,,,,,
J25,The Ghost,Heart of the Family,Judge Program,,,,,
J25,The Mandalorian,Cleaning Up Nevarro,Judge Program,,,,,
J25,Yoda,My Ally is the Force,Judge Program,,,,,
JTL,Academy Graduate,,Standard,,,,,
JTL,Academy Graduate,,Hyperspace Foil,,,,,
JTL,Academy Graduate,,Standard Foil,,,,,
JTL,Academy Graduate,,Hyperspace,,,,,
JTL,Adept ARC-170,,Standard Foil,,,,,
JTL,Adept ARC-170,,Standard,,,,,
JTL,Adept ARC-170,,Hyperspace,,,,,
JTL,Adept ARC-170,,Hyperspace Foil,,,,,
JTL,Admiral Ackbar,It's A Trap!,Standard,,,,,
JTL,Admiral Ackbar,It's A Trap!,Hyperspace,,,,,
JTL,Admiral Ackbar,It's A Trap!,Showcase,,,,,
JTL,Admiral Holdo,We're Not Alone,Hyperspace,,,,,
JTL,Admiral Holdo,We're Not Alone,Standard,,,,,
JTL,Admiral Holdo,We're Not Alone,Showcase,,,,,
JTL,Admiral Piett,Commanding the Armada,Showcase,,,,,
JTL,Admiral Piett,Commanding the Armada,Hyperspace,,,,,
JTL,Admiral Piett,Commanding the Armada,Standard,,,,,
JTL,Admiral Trench,Chk-chk-chk-chk,Showcase,,,,,
JTL,Admiral Trench,Chk-chk-chk-chk,Standard,,,,,
JTL,Admiral Trench,Chk-chk-chk-chk,Hyperspace,,,,,
JTL,Admiral Yularen,Fleet Coordinator,Hyperspace Foil,,,,,
JTL,Admiral Yularen,Fleet Coordinator,Standard Foil,,,,,
JTL,Admiral Yularen,Fleet Coordinator,Standard,,,,,
JTL,Admiral Yularen,Fleet Coordinator,Hyperspace,,,,,
JTL,Ahsoka Tano,Chasing Whispers,Hyperspace,,,,,
JTL,Ahsoka Tano,Chasing Whispers,Hyperspace Foil,,,,,
JTL,Ahsoka Tano,Chasing Whispers,Standard,,,,,
JTL,Ahsoka Tano,Chasing Whispers,Standard Foil,,,,,
JTL,Air Superiority,,Standard,,,,,
JTL,Air Superiority,,Hyperspace,,,,,
JTL,Air Superiority,,Standard Foil,,,,,
JTL,Air Superiority,,Hyperspace Foil,,,,,
JTL,All Wings Report In,,Hyperspace Foil,,,,,
JTL,All Wings Report In,,Standard Foil,,,,,
JTL,All Wings Report In,,Hyperspace,,,,,
JTL,All Wings Report In,,Standard,,,,,
JTL,Allegiant General Pryde,Ruthless and Loyal,Standard,,,,,
JTL,Allegiant General Pryde,Ruthless and Loyal,Standard Foil,,,,,
JTL,Allegiant General Pryde,Ruthless and Loyal,Hyperspace Foil,,,,,
JTL,Allegiant General Pryde,Ruthless and Loyal,Hyperspace,,,,,
JTL,Anakin Skywalker,I'll Try Spinning,Hyperspace,,,,,
JTL,Anakin Skywalker,I'll Try Spinning,Standard Foil,,,,,
JTL,Anakin Skywalker,I'll Try Spinning,Standard,,,,,
JTL,Anakin Skywalker,I'll Try Spinning,Hyperspace Foil,,,,,
JTL,Annihilator,Tagge's Flagship,Hyperspace Foil,,,,,
JTL,Annihilator,Tagge's Flagship,Standard Prestige,,,,,
JTL,Annihilator,Tagge's Flagship,Hyperspace,,,,,
JTL,Annihilator,Tagge's Flagship,Standard,,,,,
JTL,Annihilator,Tagge's Flagship,Standard Foil,,,,,
JTL,Annihilator,Tagge's Flagship,Foil Prestige,,,,,
JTL,Annihilator,Tagge's Flagship,Serialized Prestige,,,,,
JTL,Apology Accepted,,Hyperspace,,,,,
JTL,Apology Accepted,,Hyperspace Foil,,,,,
JTL,Apology Accepted,,Standard,,,,,
JTL,Apology Accepted,,Standard Foil,,,,,
JTL,Asajj Ventress,I Work Alone,Showcase,,,,,
JTL,Asajj Ventress,I Work Alone,Standard,,,,,
JTL,Asajj Ventress,I Work Alone,Hyperspace,,,,,
JTL,Astromech Pilot,,Standard Foil,,,,,
JTL,Astromech Pilot,,Hyperspace,,,,,
JTL,Astromech Pilot,,Standard,,,,,
JTL,Astromech Pilot,,Hyperspace Foil,,,,,
JTL,AT-DP Occupier,,Hyperspace,,,,,
JTL,AT-DP Occupier,,Standard,,,,,
JTL,AT-DP Occupier,,Standard Foil,,,,,
JTL,AT-DP Occupier,,Hyperspace Foil,,,,,
JTL,Attack Run,,Standard,,,,,
JTL,Attack Run,,Standard Foil,,,,,
JTL,Attack Run,,Hyperspace Foil,,,,,
JTL,Attack Run,,Hyperspace,,,,,
JTL,Banshee,Crippling Command,Hyperspace Foil,,,,,
JTL,Banshee,Crippling Command,Foil Prestige,,,,,
JTL,Banshee,Crippling Command,Serialized Prestige,,,,,
JTL,Banshee,Crippling Command,Standard Prestige,,,,,
JTL,Banshee,Crippling Command,Standard,,,,,
JTL,Banshee,Crippling Command,Hyperspace,,,,,
JTL,Banshee,Crippling Command,Standard Foil,,,,,
JTL,Barrel Roll,,Standard Foil,,,,,
JTL,Barrel Roll,,Hyperspace,,,,,
JTL,Barrel Roll,,Hyperspace Foil,,,,,
JTL,Barrel Roll,,Standard,,,,,
JTL,BB-8,Happy Beeps,Standard,,,,,
JTL,BB-8,Happy Beeps,Hyperspace Foil,,,,,
JTL,BB-8,Happy Beeps,Standard Foil,,,,,
JTL,BB-8,Happy Beeps,Hyperspace,,,,,
JTL,Biggs Darklighter,They'll Never Stop Us,Standard Foil,,,,,
JTL,Biggs Darklighter,They'll Never Stop Us,Hyperspace Foil,,,,,
JTL,Biggs Darklighter,They'll Never Stop Us,Standard,,,,,
JTL,Biggs Darklighter,They'll Never Stop Us,Hyperspace,,,,,
JTL,Black One,Straight At Them,Hyperspace,,,,,
JTL,Black One,Straight At Them,Hyperspace Foil,,,,,
JTL,Black One,Straight At Them,Standard Foil,,,,,
JTL,Black One,Straight At Them,Standard Prestige,,,,,
JTL,Black One,Straight At Them,Foil Prestige,,,,,
JTL,Black One,Straight At Them,Serialized Prestige,,,,,
JTL,Black One,Straight At Them,Standard,,,,,
JTL,Black Squadron Scout Wing,,Hyperspace,,,,,
JTL,Black Squadron Scout Wing,,Standard,,,,,
JTL,Black Squadron Scout Wing,,Hyperspace Foil,,,,,
JTL,Black Squadron Scout Wing,,Standard Foil,,,,,
JTL,Blade Squadron B-Wing,,Hyperspace Foil,,,,,
JTL,Blade Squadron B-Wing,,Hyperspace,,,,,
JTL,Blade Squadron B-Wing,,Standard,,,,,
JTL,Blade Squadron B-Wing,,Standard Foil,,,,,
JTL,Blue Leader,Scarif Air Support,Standard,,,,,
JTL,Blue Leader,Scarif Air Support,Foil Prestige,,,,,
JTL,Blue Leader,Scarif Air Support,Serialized Prestige,,,,,
JTL,Blue Leader,Scarif Air Support,Hyperspace Foil,,,,,
JTL,Blue Leader,Scarif Air Support,Standard Prestige,,,,,
JTL,Blue Leader,Scarif Air Support,Standard Foil,,,,,
JTL,Blue Leader,Scarif Air Support,Hyperspace,,,,,
JTL,Boba Fett,Feared Bounty Hunter,Standard Foil,,,,,
JTL,Boba Fett,Any Methods Necessary,Standard,,,,,
JTL,Boba Fett,Any Methods Necessary,Showcase,,,,,
JTL,Boba Fett,Any Methods Necessary,Hyperspace,,,,,
JTL,Boba Fett,Feared Bounty Hunter,Hyperspace,,,,,
JTL,Boba Fett,Feared Bounty Hunter,Standard,,,,,
JTL,Boba Fett,Feared Bounty Hunter,Hyperspace Foil,,,,,
JTL,BoShek,Charismatic Smuggler,Standard,,,,,
JTL,BoShek,Charismatic Smuggler,Standard Foil,,,,,
JTL,BoShek,Charismatic Smuggler,Hyperspace,,,,,
JTL,BoShek,Charismatic Smuggler,Hyperspace Foil,,,,,
JTL,Bossk,Hunt By Instinct,Hyperspace,,,,,
JTL,Bossk,Hunt By Instinct,Standard Foil,,,,,
JTL,Bossk,Hunt By Instinct,Standard,,,,,
JTL,Bossk,Hunt By Instinct,Hyperspace Foil,,,,,
JTL,Bunker Defender,,Standard Foil,,,,,
JTL,Bunker Defender,,Hyperspace Foil,,,,,
JTL,Bunker Defender,,Hyperspace,,,,,
JTL,Bunker Defender,,Standard,,,,,
JTL,Captain Phasma,On My Command,Standard,,,,,
JTL,Captain Phasma,Chrome Dome,Hyperspace,,,,,
JTL,Captain Phasma,On My Command,Hyperspace,,,,,
JTL,Captain Phasma,On My Command,Hyperspace Foil,,,,,
JTL,Captain Phasma,On My Command,Standard Foil,,,,,
JTL,Captain Phasma,Chrome Dome,Standard,,,,,
JTL,Captain Phasma,Chrome Dome,Showcase,,,,,
JTL,Captain Tarkin,Full Forward Assault,Standard Foil,,,,,
JTL,Captain Tarkin,Full Forward Assault,Hyperspace,,,,,
JTL,Captain Tarkin,Full Forward Assault,Standard,,,,,
